Institution Reference Number,Institution Name,Address Line 1,Address Line 2,Address Line 3,Town,County,Postcode,Telephone,Management,Type,Status,Date Closed,Email,
101-0012,Belmont Primary School ,215 BELMONT ROAD,,,BELFAST,ANTRIM,BT4  2AG,028 9047 1539,Controlled,Primary,Open,,info@belmont.belfast.ni.sch.uk,
101-0063,Currie Primary School ,111-113 LIMESTONE ROAD,,,BELFAST,ANTRIM,BT15 3AB,028 9074 7982,Controlled,Primary,Open,,info@currie.belfast.ni.sch.uk,
101-0146,Euston Street Primary School ,163 EUSTON STREET,,,BELFAST,ANTRIM,BT6  9AG,028 9045 7089,Controlled,Primary,Open,,info@eustonstreet.belfast.ni.sch.uk,
101-0157,Rosetta Primary School ,21-23 KNOCKBREDA ROAD,,,BELFAST,ANTRIM,BT6 0JA ,028 9049 1650,Controlled,Primary,Open,,info@rosetta.belfast.ni.sch.uk,
101-0205,Forth River Primary School ,100 CAIRNMARTIN ROAD,,,BELFAST,ANTRIM,BT13 3PQ,028 9071 4890,Controlled,Primary,Open,,info@forthriver.belfast.ni.sch.uk,
101-0221,Springfield Primary School ,425 SPRINGFIELD ROAD,,,BELFAST,ANTRIM,BT12 7DJ,028 9032 0366,Controlled,Primary,Open,,info@springfield.belfast.ni.sch.uk,
101-0232,Harding Memorial Primary School ,105 - 107 CREGAGH ROAD,,,BELFAST,ANTRIM,BT6  8PZ,028 9045 8040,Controlled,Primary,Open,,info@hardingmemorial.belfast.ni.sch.uk,
101-0252,Strandtown Primary School ,NORTH ROAD,,,BELFAST,ANTRIM,BT4 3DJ ,028 9067 4500,Controlled,Primary,Open,,info@strandtown.belfast.ni.sch.uk,
101-0255,Elmgrove Primary School ,289 BEERSBRIDGE ROAD,,,BELFAST,ANTRIM,BT5 4RS ,028 9045 7311,Controlled,Primary,Open,,info@elmgrove.belfast.ni.sch.uk,
101-0266,Seaview Primary School ,SEAVIEW DRIVE,,,BELFAST,ANTRIM,BT15 3NB,028 9037 0114,Controlled,Primary,Open,,info@seaview.belfast.ni.sch.uk,
101-0267,Nettlefield Primary School ,RADNOR STREET,,,BELFAST,ANTRIM,BT6 8BG ,028 9045 8237,Controlled,Primary,Open,,info@nettlefield.belfast.ni.sch.uk,
101-0273,Orangefield Primary School ,MARINA PARK,,,BELFAST,ANTRIM,BT5 6BA ,028 9070 4822,Controlled,Primary,Open,,info@orangefieldps.belfast.ni.sch.uk,
101-0282,Carr's Glen Primary School ,629-633 OLDPARK ROAD,,,BELFAST,ANTRIM,BT14 6QX,028 9039 1286,Controlled,Primary,Open,,info@carrsglen.belfast.ni.sch.uk,
101-0301,Taughmonagh Primary School ,FINDON GARDENS,,,BELFAST,ANTRIM,BT9 6QL ,028 9066 9698,Controlled,Primary,Open,,info@taughmonagh.belfast.ni.sch.uk,
101-0304,Greenwood Primary School & Nursery,436-456 UPPER NEWTOWNARDS ROAD,,,BELFAST,ANTRIM,BT4  3HS,028 9047 1610,Controlled,Primary,Open,,info@greenwoodps.belfast.ni.sch.uk,
101-0307,Springhill Primary School ,247 BALLYGOMARTIN ROAD,,,BELFAST,ANTRIM,BT13 3NH,028 9039 1987,Controlled,Primary,Open,,info@springhill.belfast.ni.sch.uk,
