Seed Code,LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN),Email,Phone Number,Website Address,Pre-school Department,Primary Department,Secondary Department,Special Department,Gaelic Unit,Integrated Special Unit,Denomination
8212627,North Ayrshire,Local Authority,Abbey Primary School,Claremont Crescent,,KILWINNING,KA13 7HG,126060678,abbey@ea.n-ayrshire.sch.uk,01294 552251,https://blogs.glowscotland.org.uk/na/abbeyprimaryschool/,Yes,Yes,No,No,No,No,Non-denominational
5520924,Edinburgh City,Local Authority,Abbeyhill Primary School,Abbey Street,Edinburgh,,EH7 5SJ,906353988,admin@abbeyhill.edin.sch.uk,0131 661 3054,http://www.abbeyhill.edin.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5237521,Aberdeen City,Local Authority,Abbotswell School,Faulds Gate,Kincorth,ABERDEEN,AB12 5QX,9051057476,abbotswell@aberdeencity.gov.uk,01224 872714,http://www.abbotswell.aberdeen.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5212227,Aberdeenshire,Local Authority,Aberchirder School,Smith Crescent,Aberchirder Huntly,ABERDEENSHIRE,AB54 7TW,151086442,aberchirder.sch@aberdeenshire.gov.uk,01466 405920,http://www.aberchirder.aberdeenshire.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8448647,Glasgow City,Local Authority,Abercorn Secondary School,195 Garscube Road,,GLASGOW,G4 9QH,906700048474,headteacher@abercorn-sec.glasgow.sch.uk,0141 332 6212,http://www.abercorn-sec.glasgow.sch.uk/,No,No,No,Yes,No,No,Non-denominational
5701929,Clackmannanshire,Local Authority,Abercromby Primary School,Tullibody South Campus,The Orchard,TULLIBODY,FK10 2SD,35021861,abercromby@edu.clacks.gov.uk,01259 452213,https://blogs.glowscotland.org.uk/cl/abercrombyprimaryandnursery/,Yes,Yes,No,No,No,No,Non-denominational
5244439,Aberdeen City,Local Authority,Aberdeen Grammar School,Skene Street,Aberdeen,,AB10 1HT,9051064936,aberdeengrammarschool@aberdeencity.gov.uk,01224 642299,http://www.grammar.org.uk,No,No,Yes,No,No,Yes,Non-denominational
5245044,Aberdeen City,Local Authority,Aberdeen School for the Deaf,Sunnybank School,Sunnybank Road,ABERDEEN,AB24 3NJ,9051070661,schoolfordeaf@aberdeencity.gov.uk,01224 261722,https://accsensorysupport.org.uk/?page_id=16,Yes,No,No,Yes,No,No,Non-denominational
5440327,Fife,Local Authority,Aberdour Primary School,Hawkcraig Road,Aberdour,BURNTISLAND,KY3 0UP,320189383,aberdourps.enquiries@fife.gov.uk,01383 602442,http://www.fifedirect.org.uk/aberdourps,Yes,Yes,No,No,No,No,Non-denominational
5720028,Stirling,Local Authority,Aberfoyle Primary School,Lochard Road,Aberfoyle,,FK8 3SZ,122000209,aberps@stirling.gov.uk,01877 382278,http://www.aberfoyleparents.org.uk/,Yes,Yes,No,No,No,No,Non-denominational
